"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",34725421.152638584
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",39876056.48314962
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",59527266.0764549
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",2705425.7478816286
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",128922028.35484949
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",47042568.038451076
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",4517761.2382682
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",18688019.620476373
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",12444955.649129393
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",3313793.691488815
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",29829009.40539864
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",63445355.59485531
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",214806090.87991318
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",59237778.917748526
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",145973135.72604898
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",101442744.01688507
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",40609351.10317845
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",56237325.94977665
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,"Pitted Fruits",42369778.62926547
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",69727443.104937
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,"Frozen Fruits and Nuts",30556627.963758547
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20812,"Preserved Fruits and Nuts",271531.617269019
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",27934959.016816907
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20814,"Citrus and Melon Peels",8710010.565980433
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",325038801.6553887
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",23023314.636279404
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20903,"Maté",262904.7789349258
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20904,"Pepper",22367579.972398728
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20905,"Vanilla",4339676.249991228
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20906,"Cinnamon",3381287.182170545
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20907,"Cloves",1362763.982009694
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20908,"Nutmeg, mace and cardamons",1986732.9248126987
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20909,"Spice Seeds",3664583.391341081
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",15611824.937487522
2,"Vegetable Products",210,"Cereals",21001,"Wheat",19829238.988733836
2,"Vegetable Products",210,"Cereals",21002,"Rye",5191199.921053027
2,"Vegetable Products",210,"Cereals",21003,"Barley",15452604.563480843
2,"Vegetable Products",210,"Cereals",21004,"Oats",378026.158479957
2,"Vegetable Products",210,"Cereals",21005,"Corn",64702067.11623061
2,"Vegetable Products",210,"Cereals",21006,"Rice",68339514.04748659
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",313313.39991273417
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",4553328.946942868
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,"Wheat Flours",22473317.27705973
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21102,"Cereal Flours",3481361.85573316
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21103,"Cereal Meal and Pellets",8685851.553603489
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21104,"Processed Cereals",14778104.804092877
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21105,"Potato Flours",8894689.743302263
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21106,"Legume Flours",1747466.2063474788
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21107,"Malt",5091434.472996565
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,"Starches",23644105.42134247
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21109,"Wheat Gluten",3470328.8972381176
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21201,"Soybeans",15706781.915962074
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21202,"Ground Nuts",9626759.65270299
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21204,"Linseed",4990940.761712765
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21205,"Rapeseed",126536102.04987402
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21206,"Sunflower Seeds",76236590.3552809
